,Unnamed: 0,Month,DayofMonth,DayOfWeek,SchedDepTime,Carrier,TailNum,DepDelay,Origin,Distance
40,40,1,3,4,22,WN,N726SW,9,JAX,1
41,41,1,3,4,18,WN,N467WN,8,JAX,1
42,42,1,3,4,18,WN,N643SW,38,JAX,2
43,43,1,3,4,8,WN,N263WN,12,JAX,2
44,44,1,3,4,17,WN,N521SW,44,JAX,2
45,45,1,3,4,7,WN,N663SW,12,JAX,2
46,46,1,3,4,14,WN,N376SW,8,JAX,1
47,47,1,3,4,9,WN,N791SW,58,JAX,1
48,48,1,3,4,19,WN,N392SW,9,JAX,1
49,49,1,3,4,15,WN,N799SW,53,LAS,1
50,50,1,3,4,22,WN,N618WN,83,LAS,1
51,51,1,3,4,13,WN,N682SW,57,LAS,1
52,52,1,3,4,16,WN,N509SW,14,LAS,1
53,53,1,3,4,17,WN,N473WN,97,LAS,5
54,54,1,3,4,12,WN,N351SW,34,LAS,2
55,55,1,3,4,13,WN,N238WN,16,LAS,3
56,56,1,3,4,21,WN,N499WN,63,LAS,3
57,57,1,3,4,9,WN,N309SW,15,LAS,3
58,58,1,3,4,17,WN,N245WN,59,LAS,5
59,59,1,3,4,13,WN,N275WN,45,LAS,4
60,60,1,3,4,15,WN,N271WN,26,LAS,4
61,61,1,3,4,20,WN,N434WN,69,LAS,4
62,62,1,3,4,16,WN,N619SW,36,LAS,2
63,63,1,3,4,18,WN,N290WN,69,LAS,4
64,64,1,3,4,21,WN,N383SW,63,LAS,1
65,65,1,3,4,18,WN,N608SW,38,LAS,1
66,66,1,3,4,21,WN,N626SW,51,LAS,1
67,67,1,3,4,20,WN,N369SW,211,LAS,1
68,68,1,3,4,14,WN,N396SW,14,LAS,1
69,69,1,3,4,11,WN,N293,10,LAS,1
70,70,1,3,4,13,WN,N509SW,16,LAS,1
71,71,1,3,4,17,WN,N409WN,56,LAS,1
72,72,1,3,4,13,WN,N695SW,9,LAS,1
73,73,1,3,4,9,WN,N220WN,23,LAS,5
74,74,1,3,4,18,WN,N784SW,47,LAS,5
75,75,1,3,4,10,WN,N244WN,11,LAS,4
76,76,1,3,4,18,WN,N455WN,69,LAS,4
77,77,1,3,4,12,WN,N297WN,10,LAS,4
78,78,1,3,4,11,WN,N481WN,17,LAS,2
79,79,1,3,4,22,WN,N203WN,77,LAS,2
80,80,1,3,4,14,WN,N491WN,117,LAS,2
81,81,1,3,4,20,WN,N480WN,30,LAS,2
82,82,1,3,4,15,WN,N318SW,14,LAS,2
83,83,1,3,4,16,WN,N647SW,27,LAS,2
84,84,1,3,4,18,WN,N313SW,35,LAS,2
85,85,1,3,4,11,WN,N352SW,9,LAS,2
86,86,1,3,4,11,WN,N321SW,27,LAS,2
87,87,1,3,4,17,WN,N660SW,65,LAS,2
88,88,1,3,4,18,WN,N414WN,49,LAS,3
89,89,1,3,4,12,WN,N408WN,10,LAS,3
90,90,1,3,4,8,WN,N475WN,9,LAS,3
91,91,1,3,4,21,WN,N321SW,41,LAS,3
92,92,1,3,4,16,WN,N230WN,30,LAS,5
93,93,1,3,4,19,WN,N761RR,275,LAS,4
94,94,1,3,4,11,WN,N464WN,39,LAS,4
95,95,1,3,4,16,WN,N272WN,52,LAS,5
96,96,1,3,4,18,WN,N499WN,23,LAS,1
97,97,1,3,4,22,WN,N244WN,17,LAS,1
98,98,1,3,4,19,WN,N335SW,26,LAS,1
99,99,1,3,4,7,WN,N488WN,16,LAS,1
100,100,1,3,4,15,WN,N496WN,61,LAS,1
101,101,1,3,4,16,WN,N422WN,15,LAS,1
102,102,1,3,4,12,WN,N792SW,28,LAS,1
103,103,1,3,4,21,WN,N352SW,42,LAS,1
104,104,1,3,4,22,WN,N335SW,38,LAS,1
105,105,1,3,4,11,WN,N404WN,47,LAS,2
106,106,1,3,4,9,WN,N787SA,9,LAS,3
107,107,1,3,4,12,WN,N617SW,30,LAS,2
108,108,1,3,4,13,WN,N302SW,16,LAS,3
109,109,1,3,4,21,WN,N763SW,73,LAS,3
110,110,1,3,4,20,WN,N676SW,58,LAS,3
111,111,1,3,4,16,WN,N775SW,72,LAS,3
112,112,1,3,4,10,WN,N449WN,23,LAS,3
113,113,1,3,4,13,WN,N444WN,19,LAS,5
114,114,1,3,4,15,WN,N764SW,6,LAS,4
115,115,1,3,4,15,WN,N407WN,9,LAS,4
116,116,1,3,4,12,WN,N232WN,26,LAS,4
117,117,1,3,4,8,WN,N725SW,19,LAS,4
118,118,1,3,4,17,WN,N745SW,8,LAS,4
119,119,1,3,4,19,WN,N740SW,34,LAS,4
120,120,1,3,4,19,WN,N405WN,90,LAS,4
121,121,1,3,4,20,WN,N468WN,87,LAS,4
122,122,1,3,4,14,WN,N201LV,44,LAS,4
123,123,1,3,4,17,WN,N222WN,18,LAS,5
124,124,1,3,4,19,WN,N282WN,38,LAS,4
125,125,1,3,4,14,WN,N784SW,9,LAS,1
126,126,1,3,4,18,WN,N223WN,124,LAS,1
127,127,1,3,4,13,WN,N281WN,46,LAS,1
128,128,1,3,4,16,WN,N460WN,43,LAS,1
129,129,1,3,4,22,WN,N679AA,51,LAS,1
130,130,1,3,4,19,WN,N378SW,70,LAS,1
131,131,1,3,4,15,WN,N248WN,13,LAS,1
132,132,1,3,4,10,WN,N774SW,10,LAS,1
133,133,1,3,4,21,WN,N695SW,15,LAS,1
134,134,1,3,4,12,WN,N627SW,7,LAS,2
135,135,1,3,4,14,WN,N622SW,80,LAS,3
136,136,1,3,4,20,WN,N217JC,89,LAS,3
137,137,1,3,4,20,WN,N259WN,30,LAS,1
138,138,1,3,4,11,WN,N301SW,32,LAS,1
139,139,1,3,4,22,WN,N356SW,58,LAS,1
140,140,1,3,4,9,WN,N742SW,16,LAS,1
141,141,1,3,4,13,WN,N313SW,15,LAS,1
142,142,1,3,4,18,WN,N273WN,38,LAS,1
143,143,1,3,4,14,WN,N660SW,28,LAS,1
144,144,1,3,4,17,WN,N466WN,62,LAS,5
145,145,1,3,4,18,WN,N678AA,21,LAS,2
146,146,1,3,4,13,WN,N258WN,33,LAS,2
147,147,1,3,4,21,WN,N608SW,54,LAS,2
148,148,1,3,4,11,WN,N435WN,42,LAS,5
149,149,1,3,4,17,WN,N484WN,20,LAS,5
150,150,1,3,4,8,WN,N228WN,7,LAS,1
151,151,1,3,4,14,WN,N747SA,7,LAS,1
152,152,1,3,4,19,WN,N338SW,7,LAS,1
153,153,1,3,4,18,WN,N603SW,27,LAS,1
154,154,1,3,4,16,WN,N221WN,87,LAS,1
155,155,1,3,4,12,WN,N378SW,24,LAS,1
156,156,1,3,4,22,WN,N258WN,46,LAS,1
157,157,1,3,4,21,WN,N281WN,60,LAS,1
158,158,1,3,4,15,WN,N777QC,31,LAS,1
159,159,1,3,4,20,WN,N752SW,75,LAS,1
160,160,1,3,4,17,WN,N487WN,27,LAS,1
161,161,1,3,4,10,WN,N790SW,11,LAS,1
162,162,1,3,4,18,WN,N794SW,40,LAS,4
163,163,1,3,4,10,WN,N715SW,12,LAS,4
164,164,1,3,4,16,WN,N401WN,30,LAS,5
165,165,1,3,4,12,WN,N448WN,16,LAS,5
166,166,1,3,4,18,WN,N403WN,59,LAS,5
167,167,1,3,4,17,WN,N267WN,46,LAS,1
168,168,1,3,4,19,WN,N450WN,33,LAS,1
169,169,1,3,4,18,WN,N286WN,11,LAS,1
170,170,1,3,4,16,WN,N428WN,29,LAS,1
171,171,1,3,4,9,WN,N400WN,33,LAS,1
172,172,1,3,4,22,WN,N442WN,15,LAS,1
173,173,1,3,4,21,WN,N286WN,57,LAS,1
174,174,1,3,4,11,WN,N466WN,40,LAS,1
175,175,1,3,4,13,WN,N487WN,18,LAS,1
176,176,1,3,4,14,WN,N610WN,25,LAS,1
177,177,1,3,4,14,WN,N315SW,18,LAS,1
178,178,1,3,4,21,WN,N692SW,50,LAS,1
179,179,1,3,4,17,WN,N902WN,18,LAS,1
180,180,1,3,4,10,WN,N734SA,6,LAS,1
181,181,1,3,4,20,WN,N490WN,10,LAS,1
182,182,1,3,4,18,WN,N692SW,59,LAS,1
183,183,1,3,4,22,WN,N646SW,42,LAS,1
184,184,1,3,4,15,WN,N414WN,38,LAS,1
185,185,1,3,4,16,WN,N405WN,58,LAS,1
186,186,1,3,4,22,WN,N454WN,53,LAS,1
187,187,1,3,4,12,WN,N298WN,8,LAS,1
188,188,1,3,4,15,WN,N277WN,11,LAS,3
189,189,1,3,4,20,WN,N902WN,47,LAS,3
190,190,1,3,4,11,WN,N350SW,9,LAS,3
191,191,1,3,4,19,WN,N768SW,21,LAS,4
192,192,1,3,4,17,WN,N634SW,19,LAS,2
193,193,1,3,4,21,WN,N285WN,12,LAS,2
194,194,1,3,4,11,WN,N431WN,27,LAS,2
195,195,1,3,4,14,WN,N615SW,31,LAS,1
196,196,1,3,4,10,WN,N491WN,59,LAS,1
197,197,1,3,4,17,WN,N302SW,201,LAS,1
198,198,1,3,4,20,WN,N602SW,80,LAS,1
199,199,1,3,4,22,WN,N447WN,116,LAS,1
200,200,1,3,4,13,WN,N492WN,183,LAS,1
201,201,1,3,4,13,WN,N361SW,32,LAS,1
202,202,1,3,4,20,WN,N429WN,32,LAS,1
203,203,1,3,4,21,WN,N437WN,34,LAS,1
204,204,1,3,4,16,WN,N306SW,45,LAS,1
205,205,1,3,4,17,WN,N446WN,39,LAS,1
206,206,1,3,4,11,WN,N455WN,39,LAS,1
207,207,1,3,4,20,WN,N395SW,119,LAS,1
208,208,1,3,4,9,WN,N756SA,49,LAS,1
209,209,1,3,4,21,WN,N351SW,23,LAS,1
210,210,1,3,4,16,WN,N766SW,77,LAS,1
211,211,1,3,4,14,WN,N613SW,24,LAS,1
212,212,1,3,4,22,WN,N385SW,62,LAS,1
213,213,1,3,4,20,WN,N715SW,39,LAS,1
214,214,1,3,4,14,WN,N324SW,19,LAS,1
215,215,1,3,4,18,WN,N626SW,51,LAS,1
216,216,1,3,4,10,WN,N632SW,11,LAS,1
217,217,1,3,4,12,WN,N445WN,19,LAS,1
218,218,1,3,4,16,WN,N418WN,12,LAS,1
219,219,1,3,4,21,WN,N640SW,15,LAS,1
220,220,1,3,4,19,WN,N264LV,57,LAS,1
221,221,1,3,4,11,WN,N765SW,75,LAS,1
222,222,1,3,4,11,WN,N472WN,53,LAS,3
223,223,1,3,4,16,WN,N212WN,28,LAS,3
224,224,1,3,4,19,WN,N600WN,45,LAS,3
225,225,1,3,4,18,WN,N737JW,55,LAS,4
226,226,1,3,4,11,WN,N314SW,68,LAS,3
227,227,1,3,4,22,WN,N264LV,56,LAS,1
228,228,1,3,4,18,WN,N342SW,56,LAS,1
229,229,1,3,4,14,WN,N267WN,21,LAS,1
230,230,1,3,4,21,WN,N446WN,38,LAS,1
231,231,1,3,4,11,WN,N489WN,28,LAS,1
232,232,1,3,4,18,WN,N364SW,25,LAX,2
233,233,1,3,4,21,WN,N690SW,40,LAX,2
234,234,1,3,4,14,WN,N424WN,13,LAX,2
235,235,1,3,4,11,WN,N326SW,9,LAX,3
236,236,1,3,4,16,WN,N708SA,52,LAX,4
237,237,1,3,4,13,WN,N249WN,32,LAX,4
238,238,1,3,4,14,WN,N236WN,10,LAX,2
239,239,1,3,4,18,WN,N684WN,110,LAX,2
240,240,1,3,4,10,WN,N335SW,20,LAX,2
241,241,1,3,4,17,WN,N496WN,77,LAX,3
242,242,1,3,4,20,WN,N667SW,45,LAX,3
243,243,1,3,4,15,WN,N401WN,36,LAX,1
244,244,1,3,4,12,WN,N622SW,30,LAX,1
245,245,1,3,4,17,WN,N768SW,12,LAX,1
246,246,1,3,4,9,WN,N314SW,27,LAX,1
247,247,1,3,4,18,WN,N676SW,55,LAX,1
248,248,1,3,4,11,WN,N351SW,12,LAX,1
249,249,1,3,4,19,WN,N499WN,25,LAX,1
250,250,1,3,4,21,WN,N758SW,9,LAX,1
251,251,1,3,4,22,WN,N352SW,57,LAX,1
252,252,1,3,4,20,WN,N335SW,30,LAX,1
253,253,1,3,4,14,WN,N272WN,48,LAX,1
254,254,1,3,4,14,WN,N742SW,27,LAX,3
255,255,1,3,4,12,WN,N262WN,17,LAX,3
256,256,1,3,4,19,WN,N632SW,53,LAX,3
257,257,1,3,4,17,WN,N550WN,48,LAX,4
258,258,1,3,4,13,WN,N730SW,15,LAX,4
259,259,1,3,4,15,WN,N486WN,8,LAX,4
260,260,1,3,4,10,WN,N494WN,16,LAX,4
261,261,1,3,4,18,WN,N732SW,36,LAX,4
262,262,1,3,4,10,WN,N473WN,30,LAX,1
263,263,1,3,4,19,WN,N683SW,64,LAX,1
264,264,1,3,4,9,WN,N631SW,23,LAX,1
265,265,1,3,4,14,WN,N268WN,19,LAX,1
266,266,1,3,4,15,WN,N752SW,22,LAX,1
267,267,1,3,4,18,WN,N720WN,33,LAX,1
268,268,1,3,4,21,WN,N342SW,46,LAX,1
269,269,1,3,4,20,WN,N648SW,31,LAX,1
270,270,1,3,4,18,WN,N476WN,27,LAX,1
271,271,1,3,4,19,WN,N224WN,34,LAX,1
272,272,1,3,4,15,WN,N489WN,20,LAX,1
273,273,1,3,4,17,WN,N422WN,22,LAX,1
274,274,1,3,4,17,WN,N304SW,110,LAX,1
275,275,1,3,4,16,WN,N361SW,23,LAX,1
276,276,1,3,4,20,WN,N402WN,8,LAX,1
277,277,1,3,4,8,WN,N693SW,8,LAX,1
278,278,1,3,4,12,WN,N465WN,6,LAX,1
279,279,1,3,4,16,WN,N609SW,9,LAX,1
280,280,1,3,4,18,WN,N269WN,46,LAX,1
281,281,1,3,4,19,WN,N229WN,21,LAX,1
282,282,1,3,4,20,WN,N718SW,75,LAX,1
283,283,1,3,4,12,WN,N342SW,14,LAX,1
284,284,1,3,4,21,WN,N283WN,36,LAX,1
285,285,1,3,4,15,WN,N637SW,76,LAX,1
286,286,1,3,4,11,WN,N202WN,35,LAX,1
287,287,1,3,4,10,WN,N288WN,20,LAX,1
288,288,1,3,4,14,WN,N792SW,44,LAX,1
289,289,1,3,4,18,WN,N283WN,18,LAX,1
290,290,1,3,4,9,WN,N313SW,8,LAX,1
291,291,1,3,4,14,WN,N618WN,22,LAX,1
292,292,1,3,4,12,WN,N693SW,9,LAX,3
293,293,1,3,4,20,WN,N901WN,206,LAX,1
294,294,1,3,4,19,WN,N738CB,123,LAX,1
295,295,1,3,4,15,WN,N738CB,115,LAX,1
296,296,1,3,4,11,WN,N738CB,135,LAX,1
297,297,1,3,4,13,WN,N901WN,193,LAX,1
298,298,1,3,4,15,WN,N331SW,65,LAX,1
299,299,1,3,4,16,WN,N740SW,31,LAX,1
300,300,1,3,4,20,WN,N687SW,56,LAX,1
301,301,1,3,4,12,WN,N608SW,29,LAX,1
302,302,1,3,4,21,WN,N731SA,65,LAX,1
303,303,1,3,4,15,WN,N676SW,30,LAX,1
304,304,1,3,4,19,WN,N385SW,60,LAX,1
305,305,1,3,4,13,WN,N647SW,31,LAX,1
306,306,1,3,4,10,WN,N642WN,14,LAX,1
307,307,1,3,4,17,WN,N415WN,9,LAX,1
308,308,1,3,4,14,WN,N626SW,27,LAX,2
309,309,1,3,4,11,WN,N311SW,29,LAX,2
310,310,1,3,4,21,WN,N605SW,67,LAX,2
311,311,1,3,4,17,WN,N671SW,52,LAX,2
312,312,1,3,4,11,WN,N226WN,8,LAX,1
313,313,1,3,4,9,WN,N488WN,11,LAX,1
314,314,1,3,4,20,WN,N384SW,63,LAX,1
315,315,1,3,4,9,WN,N613SW,49,LAX,1
316,316,1,3,4,22,WN,N225WN,50,LAX,1
317,317,1,3,4,16,WN,N629SW,19,LAX,1
318,318,1,3,4,14,WN,N727SW,51,LAX,1
319,319,1,3,4,18,WN,N449WN,28,LAX,1
320,320,1,3,4,21,WN,N416WN,14,LAX,1
321,321,1,3,4,17,WN,N312SW,30,LAX,4
322,322,1,3,4,14,WN,N283WN,11,LAX,1
323,323,1,3,4,19,WN,N306SW,75,LAX,1
324,324,1,3,4,11,WN,N451WN,12,LAX,1
325,325,1,3,4,21,WN,N654SW,30,LAX,1
326,326,1,3,4,18,WN,N506SW,40,LBB,1
327,327,1,3,4,11,WN,N501SW,6,LBB,1
328,328,1,3,4,14,WN,N520SW,22,LBB,1
329,329,1,3,4,17,WN,N370SW,12,LBB,1
330,330,1,3,4,19,WN,N501SW,10,LBB,1
331,331,1,3,4,16,WN,N404WN,41,LBB,1
332,332,1,3,4,16,WN,N309SW,64,LIT,2
333,333,1,3,4,15,WN,N240WN,16,LIT,1
334,334,1,3,4,18,WN,N502SW,47,LIT,1
335,335,1,3,4,13,WN,N678AA,16,LIT,1
336,336,1,3,4,11,WN,N522SW,8,LIT,1
337,337,1,3,4,20,WN,N514SW,39,LIT,1
338,338,1,3,4,15,WN,N787SA,12,LIT,1
339,339,1,3,4,14,WN,N418WN,9,LIT,3
340,340,1,3,4,11,WN,N339SW,16,LIT,2
341,341,1,3,4,19,WN,N513SW,31,LIT,1
342,342,1,3,4,12,WN,N617SW,285,MAF,1
343,343,1,3,4,19,WN,N379SW,22,MAF,1
344,344,1,3,4,16,WN,N503SW,27,MAF,1
345,345,1,3,4,19,WN,N527SW,31,MAF,1
346,346,1,3,4,20,WN,N512SW,11,MAF,1
347,347,1,3,4,10,WN,N692SW,29,MAF,1
348,348,1,3,4,15,WN,N333SW,95,MAF,1
349,349,1,3,4,18,WN,N335SW,9,MAF,2
350,350,1,3,4,19,WN,N356SW,15,MCI,2
351,351,1,3,4,9,WN,N669SW,6,MCI,2
352,352,1,3,4,12,WN,N224WN,9,MCI,1
353,353,1,3,4,22,WN,N227WN,15,MCI,1
354,354,1,3,4,14,WN,N354SW,14,MCI,2
355,355,1,3,4,20,WN,N465WN,28,MCI,2
356,356,1,3,4,10,WN,N511SW,27,MCI,1
357,357,1,3,4,13,WN,N525SW,16,MCI,1
358,358,1,3,4,20,WN,N628SW,59,MCI,1
359,359,1,3,4,11,WN,N603SW,6,MCI,2
360,360,1,3,4,19,WN,N376SW,22,MCI,2
361,361,1,3,4,15,WN,N386SW,22,MCI,2
362,362,1,3,4,7,WN,N600WN,13,MCI,2
363,363,1,3,4,11,WN,N674AA,28,MCI,1
364,364,1,3,4,19,WN,N742SW,30,MCI,1
365,365,1,3,4,15,WN,N690SW,9,MCI,3
366,366,1,3,4,18,WN,N302SW,36,MCI,3
367,367,1,3,4,7,WN,N742SW,30,MCI,3
368,368,1,3,4,18,WN,N648SW,31,MCI,3
369,369,1,3,4,7,WN,N313SW,10,MCI,3
370,370,1,3,4,15,WN,N449WN,23,MCI,3
371,371,1,3,4,19,WN,N756SA,32,MCI,3
372,372,1,3,4,13,WN,N650SW,7,MCI,3
373,373,1,3,4,8,WN,N662SW,18,MCI,3
374,374,1,3,4,21,WN,N661SW,89,MCI,1
375,375,1,3,4,9,WN,N499WN,13,MCI,1
376,376,1,3,4,19,WN,N353SW,6,MCI,1
377,377,1,3,4,11,WN,N502SW,18,MCI,1
378,378,1,3,4,20,WN,N528SW,39,MCI,1
379,379,1,3,4,16,WN,N667SW,18,MCI,3
380,380,1,3,4,12,WN,N528SW,10,MCI,1
381,381,1,3,4,22,WN,N399WN,10,MCI,1
382,382,1,3,4,17,WN,N507SW,64,MCI,1
383,383,1,3,4,13,WN,N692SW,39,MCI,3
384,384,1,3,4,7,WN,N232WN,14,MCI,3
385,385,1,3,4,17,WN,N728SW,9,MCI,3
386,386,1,3,4,21,WN,N775SW,63,MCI,3
387,387,1,3,4,11,WN,N310SW,23,MCI,3
388,388,1,3,4,8,WN,N338SW,16,MCI,3
389,389,1,3,4,15,WN,N391SW,48,MCI,3
390,390,1,3,4,19,WN,N639SW,21,MCI,3
391,391,1,3,4,15,WN,N213WN,47,MCI,1
392,392,1,3,4,21,WN,N677AA,17,MCI,1
393,393,1,3,4,19,WN,N386SW,54,MCI,1
394,394,1,3,4,9,WN,N376SW,13,MCI,3
395,395,1,3,4,15,WN,N704SW,85,MCI,1
396,396,1,3,4,11,WN,N636WN,32,MCI,1
397,397,1,3,4,19,WN,N504SW,51,MCI,1
398,398,1,3,4,13,WN,N409WN,46,MCO,4
399,399,1,3,4,20,WN,N387SW,7,MCO,3
400,400,1,3,4,13,WN,N208WN,17,MCO,3
401,401,1,3,4,13,WN,N663SW,15,MCO,2
402,402,1,3,4,11,WN,N390SW,27,MCO,3
403,403,1,3,4,8,WN,N463WN,12,MCO,1
404,404,1,3,4,17,WN,N650SW,10,MCO,1
405,405,1,3,4,13,WN,N204WN,26,MCO,1
406,406,1,3,4,11,WN,N706SW,7,MCO,2
407,407,1,3,4,18,WN,N365SW,25,MCO,2
408,408,1,3,4,7,WN,N785SW,13,MCO,2
409,409,1,3,4,7,WN,N460WN,6,MCO,3
410,410,1,3,4,20,WN,N443WN,21,MCO,3
411,411,1,3,4,8,WN,N235WN,10,MCO,2
412,412,1,3,4,18,WN,N625SW,17,MCO,2
413,413,1,3,4,18,WN,N334SW,79,MCO,2
414,414,1,3,4,14,WN,N713SW,11,MCO,2
415,415,1,3,4,15,WN,N252WN,6,MCO,2
416,416,1,3,4,11,WN,N667SW,10,MCO,2
417,417,1,3,4,12,WN,N662SW,14,MCO,2
418,418,1,3,4,20,WN,N425LV,18,MCO,2
419,419,1,3,4,14,WN,N419WN,6,MCO,2
420,420,1,3,4,16,WN,N235WN,19,MCO,4
421,421,1,3,4,11,WN,N621SW,14,MCO,2
422,422,1,3,4,17,WN,N216WR,29,MCO,2
423,423,1,3,4,21,WN,N444WN,8,MCO,1
424,424,1,3,4,19,WN,N346SW,67,MCO,1
425,425,1,3,4,10,WN,N294WN,22,MCO,1
426,426,1,3,4,17,WN,N778SW,13,MCO,1
427,427,1,3,4,7,WN,N333SW,7,MCO,2
428,428,1,3,4,15,WN,N470WN,49,MCO,2
429,429,1,3,4,11,WN,N752SW,20,MCO,2
430,430,1,3,4,18,WN,N366SW,26,MCO,2
431,431,1,3,4,21,WN,N638SW,20,MCO,2
432,432,1,3,4,8,WN,N657SW,9,MCO,2
433,433,1,3,4,13,WN,N366SW,14,MCO,2
434,434,1,3,4,19,WN,N659SW,32,MCO,2
435,435,1,3,4,21,WN,N467WN,30,MCO,2
436,436,1,3,4,16,WN,N786SW,12,MCO,2
437,437,1,3,4,19,WN,N412WN,62,MCO,2
438,438,1,3,4,14,WN,N779SW,75,MCO,2
439,439,1,3,4,17,WN,N438WN,32,MCO,2
440,440,1,3,4,11,WN,N258WN,9,MCO,5
441,441,1,3,4,12,WN,N391SW,48,MCO,3
442,442,1,3,4,17,WN,N356SW,9,MCO,3
443,443,1,3,4,7,WN,N352SW,12,MCO,3
444,444,1,3,4,18,WN,N469WN,67,MCO,2
445,445,1,3,4,19,WN,N780SW,35,MCO,2
446,446,1,3,4,7,WN,N766SW,7,MCO,2
447,447,1,3,4,10,WN,N739GB,80,MCO,2
448,448,1,3,4,22,WN,N481WN,61,MCO,2
449,449,1,3,4,18,WN,N462WN,16,MCO,3
450,450,1,3,4,7,WN,N419WN,6,MCO,3
451,451,1,3,4,21,WN,N202WN,23,MCO,3
452,452,1,3,4,8,WN,N626SW,14,MCO,2
453,453,1,3,4,20,WN,N355SW,10,MCO,2
454,454,1,3,4,10,WN,N405WN,11,MCO,2
455,455,1,3,4,15,WN,N456WN,24,MCO,2
456,456,1,3,4,18,WN,N743SW,18,MCO,2
457,457,1,3,4,15,WN,N276WN,6,MCO,2
458,458,1,3,4,12,WN,N369SW,22,MCO,2
459,459,1,3,4,13,WN,N346SW,60,MCO,2
460,460,1,3,4,17,WN,N242WN,70,MCO,4
461,461,1,3,4,21,WN,N439WN,6,MCO,2
462,462,1,3,4,13,WN,N672SW,8,MCO,2
463,463,1,3,4,7,WN,N786SW,10,MCO,3
464,464,1,3,4,20,WN,N694SW,14,MCO,2
465,465,1,3,4,10,WN,N266WN,10,MCO,2
466,466,1,3,4,16,WN,N218WN,14,MCO,2
467,467,1,3,4,10,WN,N355SW,18,MCO,1
468,468,1,3,4,22,WN,N388SW,38,MCO,1
469,469,1,3,4,14,WN,N786SW,8,MCO,1
470,470,1,3,4,18,WN,N707SA,8,MCO,1
471,471,1,3,4,16,WN,N402WN,13,MCO,3
472,472,1,3,4,10,WN,N690SW,6,MCO,2
473,473,1,3,4,15,WN,N457WN,15,MCO,2
474,474,1,3,4,13,WN,N720WN,24,MCO,2
475,475,1,3,4,8,WN,N775SW,7,MCO,2
476,476,1,3,4,21,WN,N291WN,115,MCO,2
477,477,1,3,4,16,WN,N247WN,54,MCO,2
478,478,1,3,4,16,WN,N709SW,35,MDW,3
479,479,1,3,4,11,WN,N325SW,31,MDW,2
480,480,1,3,4,20,WN,N305SW,101,MDW,2
481,481,1,3,4,8,WN,N403WN,14,MDW,2
482,482,1,3,4,20,WN,N767SW,88,MDW,2
483,483,1,3,4,19,WN,N730SW,30,MDW,2
484,484,1,3,4,14,WN,N406WN,33,MDW,2
485,485,1,3,4,11,WN,N427WN,22,MDW,2
486,486,1,3,4,20,WN,N374SW,173,MDW,2
487,487,1,3,4,18,WN,N256WN,20,MDW,1
488,488,1,3,4,8,WN,N409WN,30,MDW,1
489,489,1,3,4,13,WN,N679AA,37,MDW,1
490,490,1,3,4,16,WN,N436WN,7,MDW,1
491,491,1,3,4,21,WN,N238WN,81,MDW,1
492,492,1,3,4,22,WN,N347SW,71,MDW,1
493,493,1,3,4,7,WN,N479WN,23,MDW,1
494,494,1,3,4,9,WN,N217JC,19,MDW,1
495,495,1,3,4,13,WN,N785SW,37,MDW,1
